screen_names,texts
SirRangerVerde,Bueno @LuisLacallePou acá estamos esperando que salga a pronunciarse sobre la irresponsabilidad en la rural del pra… https://t.co/o5aZru0fj8
edisonhahmed,“Sabemos lo que está bien y lo que está mal” -El presi con respecto a la rural del prado y a la marcha de la diversidad.
MarceloPieiro10,"El presidente manifestó,"" que no se fue solidario en la marcha ( orgullo es luchar), ahora en 10 días en la rural d… https://t.co/6MBZmY1seB"
SirRangerVerde,@Subrayado @LuisLacallePou cuando pronuncia su indignación ante la irresponsabilidad en la rural del prado o cuando… https://t.co/A6R3NM8ux3
reirtesalvaaa,"Ay presiii presiii, que tan solidaria fue la rural del prado?
A vos no te molesta la aglomeración, te molesta la lu… https://t.co/KkCPUhekVq"
Vanealonso15,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
JuliaFormoso,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
PinkMonstah_Sin,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
jose_facal,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
variserra,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
laucanellas,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
sietecucs,Rambla y 18 peatonales + Rural del Prado + Marcha de la diversidad + Ómnibus llenos y con menos frecuencias + Argen… https://t.co/4cLbiqOOSu
mariuch34864688,"@Subrayado Tú diste el mal ejemplo haciendo cualquiera en la rural del prado...te olvidas que rol cumplís, las pala… https://t.co/JAP2qbkaZy"
ubidominans,"Me muero, éste es el mismo que andaba sin tapaboca en la rural del prado. Increíble cómo medio país puede haber dec… https://t.co/fmnvVuEaUe"
PureHeroine95,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
PureHeroine95,@rafa2933 @portalmvd llamando a la rural del prado entonces no?
seba_delaT,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
florenciagaralv,@Letyflu27 @sofemna @FlorenciaAstori @AlbericoBarrios La rural del prado es meramente  económica y le sirve comerci… https://t.co/MCoiQK64UH
Seleee_11,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
Cata_Perera,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
Guii_daaa,"Pero la rural del prado TODOS LOS DIAS  no es estar vulnerable,no? Noooo claro que no, si no es montonera de MRICAS… https://t.co/w5OLFRW8Wq"
Avril_umpi11_,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
emulis98,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
urucap1,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
samuelborba05,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
gime_rodriguezz,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
mathias_velazco,"RT @indioaguatero: No importa el partido político que seas .... No importa de que cuadro de futbol seas.
Hay cosas realmente que me preocup…"
laresistencia72,@camboue y la rural del prado?
