Id,Label,timeset,afinidad,modularity_class,pageranks,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,componentnumber,strongcompnum,clustering,eigencentrality
350417535,sberry1971,,,5,0.000968,39,27,66,6,0.352391,0.389184,0.001871,0.023973,0.015748,0,2,0.493252,0.297837
2953300797,djvask,,,5,0.002484,5,5,10,7,0.302526,0.327112,0.000275,0.002403,0.005418,0,2,0.466667,0.064317
801985375388467200,laurabelar,,,5,0.00017,2,8,10,6,0.329581,0.359377,0.000032,0.001578,0.008,0,2,0.458333,0.024488
753300164081836032,SallmonelEscarl,,,5,0.000237,4,12,16,7,0.313038,0.345157,0.000007,0.00269,0.023254,0,2,0.395604,0.042918
117584838,cisco_fran_,,,5,0.000602,15,7,22,7,0.300114,0.32854,0.000471,0.008701,0.007001,0,2,0.420833,0.111047
1300410547247230976,eduardo66468786,,,5,0.000314,11,24,35,6,0.345008,0.383586,0.00026,0.007261,0.017471,0,2,0.610507,0.088042
2629772205,fer_andres_lope,,,3,0.00186,96,124,220,6,0.404762,0.476044,0.016419,0.085431,0.103066,0,2,0.184492,0.356791
287267259,RomuloMChenlo,,,5,0.003309,37,4,41,7,0.28972,0.314308,0.001307,0.017611,0.003818,0,2,0.108108,0.160273
1238936721082986496,claudia13726295,,,3,0.000139,1,17,18,6,0.325108,0.358966,0.000036,0.000875,0.038881,0,2,0.385621,0.012233
1283034369242861568,EscribeTuit,,,4,0.000123,0,7,7,7,0.296099,0.322302,0,0,0.015903,0,9,0.333333,0
1104345317527441408,BeterJpg,,,9,0.000368,4,11,15,7,0.337496,0.369427,0.002427,0.000265,0.005098,0,2,0.145455,0.002212
1193976251658186752,Lis79Salander,,,5,0.000246,7,21,28,6,0.34088,0.377577,0.00001,0.006134,0.014774,0,2,0.457143,0.069996
522169243,COMPROMISOSOLI,,,5,0.000417,14,16,30,6,0.344107,0.379443,0.000122,0.011316,0.025884,0,2,0.384058,0.129782
308704576,alejandroferrua,,,4,0.000214,4,17,21,7,0.331969,0.367134,0.000109,0.004342,0.03298,0,2,0.323684,0.040833
759842427804889088,Aurora47972223,,cm,3,0.001301,43,104,147,6,0.381884,0.452783,0.006094,0.04501,0.100086,0,2,0.218522,0.211997
1195155227810451712,Cucaracha1614,,,5,0.000193,3,9,12,7,0.310731,0.340872,0.000003,0.002553,0.011155,0,2,0.458333,0.033822
290079286,mergb,,,3,0.000571,12,31,43,6,0.35145,0.396189,0.001432,0.012191,0.036404,0,2,0.244207,0.073902
1700335782,fiobeltrann,,,5,0.000489,8,9,17,7,0.312852,0.340831,0.001606,0.00271,0.005082,0,2,0.180556,0.039796
1909854349,s_wilkinsok,,,3,0.001177,33,13,46,6,0.31747,0.347154,0.002479,0.022098,0.026199,0,2,0.159468,0.090943
2963058135,sprem1959,,,5,0.000533,20,20,40,6,0.343434,0.380946,0.001291,0.014254,0.01169,0,2,0.589474,0.167253
1179188142135500800,CarreSaba,,,5,0.000139,1,3,4,7,0.296985,0.323986,0,0.000875,0.004077,0,2,0.5,0.012233
157407386,Tincho_ll,,,9,0.000133,1,4,5,7,0.325008,0.355148,0.000045,0.001481,0.004013,0,2,0.333333,0.008458
