id_str,screen_name,location,description,protected,verified,followers_count,friends_count,statuses_count,created_at
117584838,cisco_fran_,,Persona.,False,False,684,454,16224,2010-02-26 00:29:35
3300703175,enrdar2508,Montevideo,,False,False,190,410,10991,2015-05-27 18:11:05
774984649,betorios73,  Acá nomás,,False,False,138,609,6961,2012-08-23 02:29:29
1231726493073539072,romijubin,"Montevideo, Uruguay","fan de los abrazos, del chocolate y de los gatitos. siempre por la vereda del Frente
 
✊🏽💜 🔥 🏳️‍🌈🍒☀️ 🌈 ⛈️ 🌙♻️",False,False,79,130,207,2020-02-23 23:44:28
781730772,zurdodesuarez,Uruguay,,False,False,2326,2067,28941,2012-08-26 05:06:19
2880201685,CandidaMelchora,"Montevideo, Uruguay","Blanca,wilsonista y saravista",False,False,396,1045,7377,2014-10-28 01:06:06
383359963,alvarosilva011,,“...Que saque número ..”,False,False,185,451,3496,2011-10-01 18:54:21
155202530,elpulpoamargo,Corea del Norte,Experto en bloquear bots de derecha y viboritas. 🐍 = bloqueo.,False,False,566,349,14988,2010-06-13 12:59:51
2197416931,MarioNBarbato,Uruguay. Montevideo.,"Casado, Profesional. Experiencia Gerencial Emp. Estado. Docente Matemática. Edil Montevideo 2010 - 2015. Deportista. Tenaz y responsable. Disfruto en familia.",False,False,1083,739,35503,2013-11-16 09:18:31
811340594295558144,Floweerr15,"Canelones, Uruguay",que fluya y nada influya✨,False,False,445,211,10042,2016-12-20 22:40:46
2313585638,GonzaloJaureche,"Artigas, Uruguay",Ingeniero Agrónomo,False,False,151,172,2041,2014-01-27 12:40:00
281187307,FloEcheverria,Uruguay,Primero mamá de Coco y después otras cosas. 🌟Elige un trabajo que te guste y no tendrás que trabajar ni un día de tu vida.🌟 @flordemediauy,False,False,2792,2073,41202,2011-04-12 20:19:19
339028971,jomamos,Montevideo,,False,False,206,362,15967,2011-07-20 13:43:01
3911513069,calopez17071,,,False,False,5,22,94,2015-10-09 19:11:23
313732078,WilliamsTolmeo,Montevideo - Uruguay,Periodista. Comunicacion y Marketing          Buzo Master Dive . Director de Cursos Comité Olímpico Internacional,False,False,76,37,3862,2011-06-09 03:49:46
598555634,71Morfeo,,,False,False,12,136,673,2012-06-03 18:39:05
2757835762,Facundo3018,Uruguay,Fq⌬,False,False,253,265,14818,2014-09-01 02:18:52
555492341,ASC1899,Uruguay,"Vivo mas por Nacional que por mi , Menotti y Guardiola mis ejemplos a seguir . Liberal 🐍
#QBSLC",False,False,675,3930,52701,2012-04-16 23:11:10
185359619,AntoGordillo,uruguay ,"👩🏻‍🌾 🇺🇾🥕 🧡 De la Chacra 3 generaciones. (...) todos los días, tres veces al día vas a necesitar a un agricultor.",False,False,1277,578,2531,2010-08-31 20:16:08
1367991289,laresistencia72,Uruguayo,''Que En Todos Lados Se Vea El Poder De La Clase Obrera'',False,False,383,839,2067,2013-04-20 20:51:14
493259769,nicolas_dalmao,"Montevideo, Uruguay",Salteño exiliado en Montevideo.,False,False,184,264,3792,2012-02-15 16:22:12
